Last Traded Time,Company Name,Symbol,Last Traded Price(Rs),Trade Volume,Share Volume,Turnover (Rs),Change (Rs),Change (%)
01:55 PM,RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,2.90,18.00,164129.00,476874.10,0.00,0.00
01:56 PM,THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,4.50,6.00,1955.00,8950.00,0.10,2.27
01:57 PM,TALAWAKELLE TEA ESTATES  PLC,TPL.N0000,46.40,12.00,1864.00,86506.00,-2.10,-4.33
01:58 PM,WATAWALA PLANTATIONS PLC,WATA.N0000,28.60,5.00,792.00,22912.80,-0.30,-1.04
01:58 PM,TAL LANKA HOTELS PLC,TAJ.N0000,10.30,10.00,5330.00,55503.00,-0.10,-0.96
01:59 PM,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SRI LANKA,HDFC.N0000,25.70,13.00,7516.00,193741.60,-0.40,-1.53
02:00 PM,HARISCHANDRA MILLS PLC,HARI.N0000,1687.20,1.00,1.00,1798.00,0.00,0.00
02:02 PM,LANKA REALTY INVESTMENTS PLC,ASCO.N0000,35.30,14.00,2960.00,104500.20,-1.40,-3.81
02:02 PM,OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,12.80,38.00,90128.00,1153605.00,0.00,0.00
02:03 PM,SINHAPUTHRA FINANCE PLC,SFL.N0000,6.30,9.00,5021.00,31670.70,-0.10,-1.56
02:05 PM,R I L PROPERTY PLC,RIL.N0000,4.80,44.00,311119.00,1515478.30,-0.10,-2.04
02:07 PM,RENUKA AGRI FOODS PLC,RAL.N0000,2.90,43.00,473724.00,1379801.60,0.00,0.00
02:07 PM,SINGER (SRI LANKA) PLC,SINS.N0000,29.00,14.00,1641.00,47202.30,-0.20,-0.68
02:07 PM,LANKA TILES PLC,TILE.N0000,71.50,36.00,2522.00,181393.40,-1.30,-1.79
02:07 PM,BAIRAHA FARMS PLC,BFL.N0000,90.40,21.00,13410.00,1211650.20,0.40,0.44
02:08 PM,ASIA CAPITAL PLC,ACAP.N0000,6.90,12.00,26683.00,189542.50,0.10,1.47
02:08 PM,RENUKA FOODS PLC,COCO.N0000,14.10,9.00,1058.00,14934.40,0.00,0.00
02:09 PM,MADULSIMA PLANTATIONS PLC,MADU.N0000,7.80,91.00,174546.00,1385381.10,0.20,2.63
02:09 PM,B P P L HOLDINGS PLC,BPPL.N0000,9.90,62.00,96095.00,956854.40,0.00,0.00
02:11 PM,BUKIT DARAH PLC,BUKI.N0000,171.10,2.00,102.00,17450.00,1.10,0.65
02:11 PM,GALADARI HOTELS (LANKA) PLC,GHLL.N0000,7.00,23.00,14287.00,100423.60,-0.10,-1.41
02:12 PM,CARSON CUMBERBATCH PLC,CARS.N0000,164.00,4.00,394.00,64618.90,0.00,0.00
02:12 PM,KAHAWATTE PLANTATIONS PLC,KAHA.N0000,32.80,2.00,200.00,6560.00,-1.70,-4.93
02:12 PM,SEYLAN DEVELOPMENTS PLC,CSD.N0000,10.70,35.00,323717.00,3493103.60,-0.10,-0.93
02:12 PM,LOTUS HYDRO POWER PLC,HPFL.N0000,6.00,6.00,15950.00,95700.00,-0.20,-3.23
02:12 PM,KEELLS FOOD PRODUCTS PLC,KFP.N0000,100.00,15.00,12072.00,1207200.00,0.50,0.50
02:13 PM,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,9.70,4.00,5550.00,55350.00,-0.40,-3.96
02:13 PM,LOLC FINANCE PLC,LOFC.N0000,3.40,64.00,1117071.00,3800041.40,-0.10,-2.86
02:14 PM,SEYLAN BANK PLC,SEYB.N0000,44.00,32.00,35056.00,1544761.30,-0.50,-1.12
02:14 PM,DIPPED PRODUCTS PLC,DIPD.N0000,134.10,19.00,2884.00,387637.20,-0.90,-0.67
02:14 PM,COLOMBO DOCKYARD PLC,DOCK.N0000,46.10,12.00,2105.00,96874.30,-0.10,-0.22
02:14 PM,SIERRA CABLES PLC,SIRA.N0000,3.40,68.00,1521419.00,5186536.10,0.00,0.00
02:14 PM,ASIA ASSET FINANCE PLC,AAF.N0000,8.50,7.00,2340.00,19766.50,0.30,3.66
02:15 PM,JOHN KEELLS PLC,JKL.N0000,45.00,4.00,2412.00,108538.80,0.10,0.22
02:15 PM,KOTAGALA PLANTATIONS PLC,KOTA.N0000,5.70,25.00,53434.00,305529.20,0.00,0.00
02:15 PM,JOHN KEELLS HOTELS PLC,KHL.N0000,7.70,21.00,14214.00,109053.70,0.10,1.32
02:15 PM,BROWN & COMPANY PLC,BRWN.N0000,57.10,15.00,4092.00,229353.40,1.00,1.78
02:16 PM,UDAPUSSELLAWA PLANTATIONS PLC,UDPL.N0000,22.10,4.00,1314.00,29036.00,-1.00,-4.33
02:16 PM,NESTLE LANKA PLC,NEST.N0000,1078.80,10.00,345.00,372175.00,1.70,0.16
02:16 PM,CEYLON TOBACCO COMPANY PLC,CTC.N0000,950.60,19.00,444.00,422106.20,0.60,0.06
02:17 PM,SOFTLOGIC CAPITAL PLC,SCAP.N0000,4.60,22.00,97715.00,441732.50,0.10,2.22
02:18 PM,JANASHAKTHI INSURANCE PLC,JINS.N0000,32.30,65.00,61510.00,1973562.60,0.30,0.94
02:18 PM,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,18.40,38.00,31922.00,586637.60,-0.10,-0.54
02:18 PM,LVL ENERGY FUND PLC,LVEF.N0000,7.30,24.00,37427.00,272581.30,0.20,2.82
02:19 PM,PANASIAN POWER PLC,PAP.N0000,3.30,30.00,149544.00,490441.80,0.00,0.00
02:19 PM,DOLPHIN HOTELS PLC,STAF.N0000,16.00,8.00,2712.00,44630.50,-0.50,-3.03
02:20 PM,VALLIBEL ONE PLC,VONE.N0000,14.50,33.00,36795.00,535433.50,0.00,0.00
02:20 PM,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,0.50,18.00,43550.00,23816.40,0.00,0.00
02:20 PM,RENUKA CAPITAL PLC,KZOO.N0000,3.50,70.00,336061.00,1200904.70,-0.10,-2.78
02:20 PM,LAXAPANA BATTERIES PLC,LITE.N0000,10.60,6.00,2354.00,24964.70,-0.50,-4.50
02:20 PM,LANKA WALLTILES PLC,LWL.N0000,58.40,30.00,8309.00,486755.80,0.00,0.00
02:20 PM,RESUS ENERGY PLC,HPWR.N0000,27.00,33.00,8931.00,240946.60,0.20,0.75
02:21 PM,ACL PLASTICS PLC,APLA.N0000,167.20,70.00,6580.00,1100811.20,0.20,0.12
02:21 PM,SERENDIB HOTELS PLC,SHOT.N0000,19.00,1.00,1.00,19.50,0.00,0.00
02:21 PM,SINGER FINANCE (LANKA) PLC,SFIN.N0000,11.80,125.00,437720.00,5153729.60,0.50,4.42
02:22 PM,MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,7.80,37.00,70243.00,540490.40,0.00,0.00
02:22 PM,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,76.60,20.00,13611.00,1042188.70,-0.60,-0.78
02:22 PM,ASIAN HOTELS & PROPERTIES PLC,AHPL.N0000,31.50,28.00,35186.00,1108352.90,0.60,1.94
02:22 PM,BALANGODA PLANTATIONS PLC,BALA.N0000,11.10,23.00,21257.00,239528.90,-0.90,-7.50
02:23 PM,KEGALLE PLANTATIONS PLC,KGAL.N0000,55.10,18.00,5669.00,313594.30,-0.10,-0.18
02:23 PM,SOFTLOGIC HOLDINGS PLC,SHL.N0000,10.80,43.00,62591.00,685586.40,-0.10,-0.92
02:23 PM,PAN ASIA BANKING CORPORATION PLC,PABC.N0000,11.50,25.00,159158.00,1833553.60,0.00,0.00
02:23 PM,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,18.00,8.00,4608.00,82984.40,0.00,0.00
02:23 PM,UNITED MOTORS LANKA PLC,UML.N0000,49.50,7.00,871.00,43213.80,0.50,1.02
02:23 PM,COMMERCIAL LEASING & FINANCE PLC,CLC.N0000,3.10,11.00,516.00,1608.20,0.00,0.00
02:23 PM,AMANA BANK PLC,ABL.N0000,2.40,53.00,603325.00,1447574.80,0.10,4.35
02:23 PM,ORIENT FINANCE PLC,BFN.N0000,9.60,11.00,27341.00,262684.50,-0.20,-2.04
02:24 PM,CEYLON INVESTMENT PLC,CINV.N0000,40.00,32.00,76837.00,3074963.30,0.20,0.50
02:24 PM,VIDULLANKA PLC,VLL.N0000,4.80,4.00,111.00,532.80,-0.20,-4.00
02:24 PM,NATIONS TRUST BANK PLC,NTB.N0000,63.00,58.00,109315.00,6939973.90,0.00,0.00
02:24 PM,VALLIBEL POWER ERATHNA PLC,VPEL.N0000,6.00,45.00,366423.00,2200878.80,0.00,0.00
02:24 PM,ASIRI  SURGICAL HOSPITAL PLC,AMSL.N0000,10.20,2.00,201.00,2050.20,0.00,0.00
02:24 PM,SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,28.70,17.00,3473.00,100484.60,-1.00,-3.37
